,n_genes,percent_mito,n_counts
Htr3a_tdTpositive_cell_44,7355,0.030003686,7236185.0
Htr3a_tdTpositive_cell_45,6085,0.032138094,5488873.5
Htr3a_tdTpositive_cell_46,7330,0.038421422,4762422.0
Htr3a_tdTpositive_cell_47,6251,0.024873862,5137790.0
Htr3a_tdTpositive_cell_48,5846,0.03933344,4749683.0
Htr3a_tdTpositive_cell_49,6798,0.021547588,4877237.0
Htr3a_tdTpositive_cell_50,7058,0.031344716,6162583.0
Htr3a_tdTpositive_cell_51,6925,0.027936962,5623292.5
Htr3a_tdTpositive_cell_52,7711,0.028396301,6318974.5
Htr3a_tdTpositive_cell_53,5994,0.041524187,9732421.0
Htr3a_tdTpositive_cell_54,6179,0.019672425,5756430.0
Htr3a_tdTpositive_cell_55,6479,0.02379211,1654257.0
Htr3a_tdTpositive_cell_56,5436,0.023821257,2418270.5
Htr3a_tdTpositive_cell_57,6984,0.020538041,4248145.0
Htr3a_tdTpositive_cell_58,6324,0.030786868,4788455.0
Htr3a_tdTpositive_cell_59,6528,0.02720953,4629853.0
Htr3a_tdTpositive_cell_60,7907,0.024736924,6535677.5
Htr3a_tdTpositive_cell_61,7722,0.02921072,8005085.0
Htr3a_tdTpositive_cell_62,7121,0.021103479,12194543.0
Htr3a_tdTpositive_cell_63,6443,0.022042347,5619350.0
Htr3a_tdTpositive_cell_64,7716,0.024792854,4997257.0
Htr3a_tdTpositive_cell_65,6286,0.02500426,5264480.5
Htr3a_tdTpositive_cell_66,6162,0.021463653,5390948.0
Htr3a_tdTpositive_cell_67,6419,0.034510262,5601089.5
Htr3a_tdTpositive_cell_68,7048,0.030661352,4337408.0
Htr3a_tdTpositive_cell_69,6579,0.02104022,4983164.5
Htr3a_tdTpositive_cell_70,7294,0.026627282,5416743.0
Htr3a_tdTpositive_cell_71,5677,0.019246427,5186581.0
Htr3a_tdTpositive_cell_72,9208,0.038499046,5272546.0
Htr3a_tdTpositive_cell_73,7062,0.028012896,5218587.5
Htr3a_tdTpositive_cell_74,7314,0.021288231,4934537.0
Htr3a_tdTpositive_cell_75,7579,0.034018725,6445754.5
Htr3a_tdTpositive_cell_76,6695,0.03365815,5488965.5
Htr3a_tdTpositive_cell_77,7312,0.023113655,5635869.5
Htr3a_tdTpositive_cell_78,7891,0.044332124,7775222.0
Htr3a_tdTpositive_cell_79,8275,0.026331073,5134466.0
Htr3a_tdTpositive_cell_80,6189,0.05399038,4442227.0
Htr3a_tdTpositive_cell_81,6160,0.03022334,4145869.0
Htr3a_tdTpositive_cell_82,7415,0.021664813,4374963.0
Htr3a_tdTpositive_cell_83,7408,0.044824418,7174923.0
Htr3a_tdTpositive_cell_84,8105,0.034610476,5303726.5
Htr3a_tdTpositive_cell_85,7525,0.05938255,6191101.0
Htr3a_tdTpositive_cell_86,9503,0.042151883,5377940.5
Htr3a_tdTpositive_cell_87,7116,0.036034383,7101928.0
Htr3a_tdTpositive_cell_88,6547,0.033508036,4871425.5
Htr3a_tdTpositive_cell_89,8782,0.029590698,7870326.0
Htr3a_tdTpositive_cell_90,7235,0.030426402,7883605.5
Htr3a_tdTpositive_cell_91,8007,0.034974754,8392180.0
Htr3a_tdTpositive_cell_92,5475,0.024947587,1139643.9
Htr3a_tdTpositive_cell_93,8413,0.030802958,6817509.0
Htr3a_tdTpositive_cell_94,8037,0.026671026,4644618.5
Htr3a_tdTpositive_cell_95,4937,0.017321523,881964.0
Htr3a_tdTpositive_cell_96,8380,0.02856288,5976082.0
Htr3a_tdTpositive_cell_97,8164,0.02076001,5332871.0
Htr3a_tdTpositive_cell_98,7959,0.033058234,5510484.5
Htr3a_tdTpositive_cell_99,8291,0.019366795,5918868.0
Htr3a_tdTpositive_cell_100,8464,0.02409359,5313196.0
Htr3a_tdTpositive_cell_101,7824,0.028375734,2008775.0
Htr3a_tdTpositive_cell_102,7120,0.030305997,7492140.5
Htr3a_tdTpositive_cell_103,8473,0.029589184,6610030.0
Htr3a_tdTpositive_cell_104,4898,0.017388875,4410410.5
Htr3a_tdTpositive_cell_105,8554,0.032342255,6131789.0
Htr3a_tdTpositive_cell_106,8583,0.024451233,6211527.0
Htr3a_tdTpositive_cell_107,8607,0.03144879,4799093.5
Htr3a_tdTpositive_cell_108,8813,0.029455706,3168797.0
Htr3a_tdTpositive_cell_109,7759,0.022393517,4561419.0
Htr3a_tdTpositive_cell_110,8305,0.029297741,6589633.5
Htr3a_tdTpositive_cell_111,8403,0.022222819,6326370.5
Htr3a_tdTpositive_cell_112,6950,0.026722187,5439295.0
Htr3a_tdTpositive_cell_113,8830,0.022849713,6121584.0
Htr3a_tdTpositive_cell_114,9093,0.03670622,5901459.0
Htr3a_tdTpositive_cell_115,8365,0.025750102,5775963.5
Htr3a_tdTpositive_cell_116,8008,0.032626957,3040645.0
Htr3a_tdTpositive_cell_117,7987,0.02449732,4532332.5
Htr3a_tdTpositive_cell_118,7398,0.0338629,6261106.0
Htr3a_tdTpositive_cell_119,8995,0.03931498,6220754.0
Htr3a_tdTpositive_cell_120,8225,0.034375656,6517364.0
Htr3a_tdTpositive_cell_121,8185,0.019165782,7307581.0
Htr3a_tdTpositive_cell_122,7218,0.020480826,7081230.5
Htr3a_tdTpositive_cell_123,8164,0.023787126,6439342.0
Ndnf_tdTpositive_cell_1,5389,0.05582627,3959599.5
Ndnf_tdTpositive_cell_2,8501,0.034316353,5531537.0
Ndnf_tdTpositive_cell_3,4360,0.0991717,9505634.0
Ndnf_tdTpositive_cell_4,3811,0.0869937,4118626.2
Ndnf_tdTpositive_cell_5,4290,0.09564586,4461000.0
Ndnf_tdTpositive_cell_6,4433,0.067062415,4422916.0
Ndnf_tdTpositive_cell_7,3470,0.055423085,5186820.0
Ndnf_tdTpositive_cell_8,4163,0.08475984,5436291.5
Ndnf_tdTpositive_cell_9,3097,0.05262363,3739034.5
Ndnf_tdTpositive_cell_10,3729,0.06268698,4818747.0
Ndnf_tdTpositive_cell_11,3485,0.030999847,3479979.0
Ndnf_tdTpositive_cell_12,3612,0.054295585,4947081.5
Ndnf_tdTpositive_cell_13,7281,0.03563534,3756092.0
Ndnf_tdTpositive_cell_14,7460,0.031520523,3820775.0
Ndnf_tdTpositive_cell_15,6946,0.028816136,4031842.0
Ndnf_tdTpositive_cell_16,7448,0.032604944,3490294.8
Ndnf_tdTpositive_cell_17,7189,0.032790482,4486470.5
Ndnf_tdTpositive_cell_18,7103,0.03094138,4393901.5
Ndnf_tdTpositive_cell_19,7380,0.028180197,4493637.0
Ndnf_tdTpositive_cell_20,1825,0.09581551,216079.44
Ndnf_tdTpositive_cell_21,3672,0.05695425,3997703.5
Ndnf_tdTnegative_cell_1,4196,0.04019488,3310370.8
Ndnf_tdTnegative_cell_2,8023,0.021111652,15206894.0
Ndnf_tdTnegative_cell_3,7787,0.031233877,5163496.0
Ndnf_tdTnegative_cell_4,4301,0.045102593,3038634.5
Ndnf_tdTnegative_cell_5,5243,0.06258317,6701471.0
Ndnf_tdTnegative_cell_6,5003,0.08630596,6840516.0
Ndnf_tdTnegative_cell_7,3913,0.05149394,3431472.8
Ndnf_tdTnegative_cell_8,7958,0.025688494,5166980.0
Ndnf_tdTnegative_cell_9,6859,0.027766049,4223524.5
Ndnf_tdTnegative_cell_10,4358,0.045377128,4433249.5
Ndnf_tdTnegative_cell_11,4842,0.03650931,5100185.0
Ndnf_tdTnegative_cell_12,7356,0.027556006,5238233.0
Nkx2-1_tdTpositive_cell_1,6483,0.058200866,4350842.0
Nkx2-1_tdTpositive_cell_2,8379,0.08132774,4852290.0
Nkx2-1_tdTpositive_cell_3,6766,0.05232422,4038686.8
Nkx2-1_tdTpositive_cell_4,8622,0.073338725,4350272.0
Nkx2-1_tdTpositive_cell_5,7443,0.049078852,3934482.0
Nkx2-1_tdTpositive_cell_6,8086,0.059480835,3909582.5
Nkx2-1_tdTpositive_cell_7,7780,0.073989905,3965070.5
Nkx2-1_tdTpositive_cell_8,7500,0.08489678,3734697.0
Nkx2-1_tdTpositive_cell_9,8013,0.08993997,4803580.0
Nkx2-1_tdTpositive_cell_10,9970,0.06960132,6214524.0
Nkx2-1_tdTpositive_cell_11,7879,0.069815814,4686016.5
Nkx2-1_tdTpositive_cell_12,7842,0.05921351,3913248.5
Nkx2-1_tdTpositive_cell_13,7985,0.085305,3993428.2
Nkx2-1_tdTpositive_cell_14,6402,0.04230778,3395165.0
Nkx2-1_tdTpositive_cell_15,6946,0.057485424,4401470.5
Nkx2-1_tdTpositive_cell_16,5686,0.054482102,6178169.5
Nkx2-1_tdTpositive_cell_17,7362,0.06693142,2912441.0
Nkx2-1_tdTpositive_cell_18,9168,0.08195101,4116157.0
Nkx2-1_tdTpositive_cell_19,7141,0.11163048,3202872.0
Nkx2-1_tdTpositive_cell_20,7667,0.09715022,3071911.0
Nkx2-1_tdTpositive_cell_21,6582,0.07562079,2523936.5
Nkx2-1_tdTpositive_cell_22,6395,0.069961,2430831.0
Nos1_tdTpositive_cell_1,5511,0.07231024,3894500.0
Nos1_tdTpositive_cell_2,7961,0.028946673,5309313.5
Nos1_tdTpositive_cell_3,7655,0.026198989,5902397.0
Nos1_tdTpositive_cell_4,9113,0.04000911,10031085.0
Nos1_tdTpositive_cell_5,7387,0.03040205,4994286.5
Nos1_tdTpositive_cell_6,8950,0.035150945,4651608.5
Nos1_tdTpositive_cell_8,8885,0.034891296,14416025.0
Nos1_tdTpositive_cell_9,8253,0.045959763,11996185.0
Nos1_tdTpositive_cell_10,7663,0.041672796,6673692.0
Nos1_tdTpositive_cell_11,8787,0.048025467,13283244.0
Nos1_tdTpositive_cell_12,8967,0.032119185,9787448.0
Nos1_tdTpositive_cell_13,8113,0.033522293,13308904.0
Nos1_tdTpositive_cell_14,9128,0.03787371,12458754.0
Nos1_tdTpositive_cell_15,9331,0.046401795,16067818.0
Nos1_tdTpositive_cell_16,9800,0.04945811,14738770.0
Nos1_tdTpositive_cell_17,8868,0.032227755,6811551.0
Nos1_tdTpositive_cell_18,8590,0.029260853,5512683.0
Nos1_tdTpositive_cell_19,7151,0.023420054,4511178.5
Nos1_tdTpositive_cell_20,9010,0.036503702,5991757.0
Nos1_tdTpositive_cell_21,8543,0.03750643,4268152.0
Nos1_tdTpositive_cell_22,8830,0.033150736,4207733.0
Nos1_tdTpositive_cell_24,9189,0.02974717,5489805.0
Nos1_tdTpositive_cell_25,8434,0.029772293,5653997.0
Nos1_tdTpositive_cell_26,6529,0.06673674,4789812.0
Nos1_tdTpositive_cell_27,8848,0.058107406,5158163.0
Nos1_tdTpositive_cell_28,9549,0.03672542,4952846.0
Nos1_tdTpositive_cell_29,8130,0.034385026,7866193.0
Nos1_tdTpositive_cell_30,9400,0.05103631,6941164.0
Nos1_tdTpositive_cell_31,6632,0.03427738,5695527.0
Nos1_tdTpositive_cell_32,8640,0.038547095,5855456.0
Nos1_tdTpositive_cell_33,7121,0.044560447,4783615.0
Nos1_tdTpositive_cell_34,7720,0.030334206,4637867.0
Nos1_tdTpositive_cell_35,8248,0.031554013,6156356.0
Nos1_tdTpositive_cell_36,7911,0.02623718,6251827.0
Nos1_tdTpositive_cell_37,8648,0.035141073,5399237.5
Nos1_tdTpositive_cell_38,8635,0.028583344,6212734.0
Nos1_tdTpositive_cell_39,7192,0.021392327,5349466.0
Nos1_tdTpositive_cell_40,8204,0.034944076,7471326.5
Nos1_tdTpositive_cell_41,7837,0.033514597,6402459.0
Nos1_tdTpositive_cell_42,8724,0.030982323,3310099.0
Nos1_tdTpositive_cell_43,8087,0.033517502,4947576.0
Nos1_tdTpositive_cell_44,8203,0.03420749,5716325.0
Nos1_tdTpositive_cell_45,6775,0.036111627,5635464.0
Nos1_tdTpositive_cell_46,8032,0.02820776,5228107.0
Nos1_tdTpositive_cell_47,8722,0.05298865,6533544.5
Nos1_tdTpositive_cell_48,7090,0.032629397,4428394.0
Nos1_tdTpositive_cell_49,8490,0.028549418,5583079.5
Nos1_tdTpositive_cell_50,8370,0.033007294,4761284.0
Nos1_tdTpositive_cell_51,9020,0.03581169,6363061.0
Nos1_tdTpositive_cell_52,8543,0.044956833,6965531.0
Nos1_tdTpositive_cell_53,7735,0.03737312,7034896.0
Nos1_tdTpositive_cell_54,5939,0.04438868,4965102.0
Nos1_tdTpositive_cell_55,7632,0.029973418,6589533.5
Nos1_tdTpositive_cell_56,6745,0.054398462,6065242.5
Nos1_tdTpositive_cell_57,8071,0.03374573,6456772.0
Nos1_tdTpositive_cell_58,8643,0.03390679,7682833.0
Nos1_tdTpositive_cell_59,7963,0.027815,7023453.0
Nos1_tdTpositive_cell_60,6687,0.018845147,6134599.0
Nos1_tdTpositive_cell_61,9144,0.03418222,11437320.0
Nos1_tdTpositive_cell_62,8546,0.037281137,5645159.0
Nos1_tdTpositive_cell_63,8567,0.05104527,5416686.0
Nos1_tdTpositive_cell_64,8277,0.031849552,6105331.0
Nos1_tdTpositive_cell_65,8831,0.032476462,12343630.0
Nos1_tdTpositive_cell_67,9279,0.038575076,10464971.0
Nos1_tdTpositive_cell_68,8684,0.034788895,7145577.0
Nos1_tdTpositive_cell_69,6773,0.030176366,7821323.0
Nos1_tdTpositive_cell_70,8666,0.038859453,6469024.0
Nos1_tdTpositive_cell_71,8135,0.031642884,8079498.5
Nos1_tdTpositive_cell_72,9011,0.035625834,5203553.0
Nr5a1_tdTpositive_cell_1,8913,0.026012808,11538901.0
Nr5a1_tdTpositive_cell_2,8818,0.022810195,9967450.0
Nr5a1_tdTpositive_cell_3,9276,0.031892423,11757909.0
Nr5a1_tdTpositive_cell_4,9300,0.026709927,12670776.0
Nr5a1_tdTpositive_cell_5,8906,0.029840006,11615225.0
Nr5a1_tdTpositive_cell_6,8301,0.03905143,5074194.0
Nr5a1_tdTpositive_cell_7,7206,0.03794416,4841493.5
Nr5a1_tdTpositive_cell_8,9059,0.021469524,11435396.0
Nr5a1_tdTpositive_cell_9,6930,0.012892525,3015889.2
Nr5a1_tdTpositive_cell_10,6960,0.018347172,3043269.8
Nr5a1_tdTpositive_cell_11,6599,0.021968795,4070950.8
Nr5a1_tdTpositive_cell_12,7275,0.021992316,4630000.5
Nr5a1_tdTpositive_cell_13,7635,0.019773586,4932830.0
Nr5a1_tdTpositive_cell_14,7586,0.020384792,5631709.0
Nr5a1_tdTpositive_cell_15,8112,0.017749395,5234678.0
Nr5a1_tdTpositive_cell_16,7836,0.017981492,4652910.0
Nr5a1_tdTpositive_cell_17,8450,0.019268176,15918477.0
Nr5a1_tdTpositive_cell_18,8050,0.02129293,5207405.0
Nr5a1_tdTpositive_cell_19,7216,0.033185624,4944873.0
Nr5a1_tdTpositive_cell_20,8322,0.047726024,4980451.5
Nr5a1_tdTpositive_cell_21,9548,0.14311685,5789517.0
Nr5a1_tdTpositive_cell_22,8293,0.040750064,5278464.5
Nr5a1_tdTpositive_cell_23,7339,0.023064407,3001132.2
Nr5a1_tdTpositive_cell_24,7053,0.018864784,4305031.0
Nr5a1_tdTpositive_cell_25,7466,0.02226931,4350475.0
Nr5a1_tdTpositive_cell_26,7360,0.025688186,4839296.0
Nr5a1_tdTpositive_cell_27,7205,0.024345033,4304576.5
Nr5a1_tdTpositive_cell_28,7901,0.024697116,3983910.2
Nr5a1_tdTpositive_cell_29,8796,0.02271311,4998791.0
Nr5a1_tdTpositive_cell_30,6843,0.028329464,5711541.0
Nr5a1_tdTpositive_cell_31,7058,0.023862028,5120100.0
Nr5a1_tdTpositive_cell_32,8060,0.029712975,4631950.0
Nr5a1_tdTpositive_cell_33,7594,0.03977118,4619541.0
Nr5a1_tdTpositive_cell_34,7019,0.02850322,3304116.8
Nr5a1_tdTpositive_cell_35,7769,0.030016432,1571440.8
Nr5a1_tdTpositive_cell_36,7249,0.021203162,2720211.5
Nr5a1_tdTpositive_cell_37,9525,0.03499713,20728334.0
Nr5a1_tdTpositive_cell_38,9398,0.02370063,24975374.0
Nr5a1_tdTpositive_cell_39,9878,0.026349328,9527331.0
Nr5a1_tdTpositive_cell_40,8502,0.022658186,7941234.0
Nr5a1_tdTpositive_cell_41,9009,0.02138002,13665000.0
Nr5a1_tdTpositive_cell_42,9680,0.023790998,19671772.0
Nr5a1_tdTpositive_cell_43,7329,0.031505316,16053272.0
Nr5a1_tdTpositive_cell_44,8436,0.043526247,8953726.0
Nr5a1_tdTpositive_cell_45,7799,0.033179004,4897617.5
Nr5a1_tdTpositive_cell_46,8232,0.024118721,8279669.0
Nr5a1_tdTpositive_cell_47,8006,0.02809557,6419780.0
Nr5a1_tdTpositive_cell_48,7356,0.023416422,6359841.0
Nr5a1_tdTpositive_cell_49,8799,0.061686043,2506855.5
Nr5a1_tdTpositive_cell_50,8899,0.037133772,5758484.5
Nr5a1_tdTpositive_cell_52,8623,0.05464424,4491693.5
Ntsr1_tdTpositive_cell_1,9566,0.02982769,12896220.0
Ntsr1_tdTpositive_cell_2,9461,0.034024112,12609662.0
Ntsr1_tdTpositive_cell_3,9096,0.027166443,14066658.0
Ntsr1_tdTpositive_cell_4,8986,0.029888062,12873824.0
Ntsr1_tdTpositive_cell_5,9232,0.03281337,6538599.5
Ntsr1_tdTpositive_cell_6,8167,0.026884168,5133124.5
Ntsr1_tdTpositive_cell_7,9072,0.03430135,7013984.5
Ntsr1_tdTpositive_cell_8,8859,0.020816477,7606528.0
Ntsr1_tdTpositive_cell_9,7766,0.02473691,6449462.0
Ntsr1_tdTpositive_cell_10,8339,0.025042973,6090535.0
Ntsr1_tdTpositive_cell_11,7885,0.028929466,5865002.5
Ntsr1_tdTpositive_cell_12,7813,0.02627118,5392908.5
Ntsr1_tdTpositive_cell_13,7984,0.029091278,5560235.5
Ntsr1_tdTpositive_cell_14,7510,0.023663148,5931942.0
Ntsr1_tdTpositive_cell_15,8102,0.030012622,5704693.0
Ntsr1_tdTpositive_cell_16,7256,0.033458296,5053330.0
Ntsr1_tdTpositive_cell_17,7688,0.028095542,6331941.0
Ntsr1_tdTpositive_cell_18,7713,0.024661077,6061440.0
Ntsr1_tdTpositive_cell_19,8517,0.034062356,6243391.0
Ntsr1_tdTpositive_cell_20,5873,0.04059802,4948446.0
Ntsr1_tdTpositive_cell_21,7933,0.0325787,5978950.5
Ntsr1_tdTpositive_cell_22,8087,0.040706754,5066774.5
Ntsr1_tdTpositive_cell_23,8430,0.036557674,6131483.5
Ntsr1_tdTpositive_cell_24,8021,0.033130378,7927467.0
Ntsr1_tdTpositive_cell_25,8369,0.028556151,5783948.0
Ntsr1_tdTpositive_cell_26,7636,0.035213184,5641859.0
Ntsr1_tdTpositive_cell_27,6673,0.03810062,5614532.5
Ntsr1_tdTpositive_cell_28,5936,0.05621534,4834781.5
Ntsr1_tdTpositive_cell_29,8871,0.042665966,12926607.0
Ntsr1_tdTpositive_cell_30,8733,0.06863421,11863023.0
Ntsr1_tdTpositive_cell_31,6701,0.04380929,5671847.0
Ntsr1_tdTpositive_cell_32,7464,0.03041951,6065218.5
Ntsr1_tdTpositive_cell_33,8791,0.04615948,10938691.0
Ntsr1_tdTpositive_cell_34,9079,0.035252698,12497059.0
Ntsr1_tdTpositive_cell_35,8646,0.039148174,13873305.0
Ntsr1_tdTpositive_cell_36,8873,0.042537548,15991270.0
Ntsr1_tdTpositive_cell_37,8567,0.02906789,7864410.0
Ntsr1_tdTpositive_cell_38,7661,0.027733633,5262884.0
Ntsr1_tdTpositive_cell_39,6657,0.049428772,5665571.0
Ntsr1_tdTpositive_cell_40,8637,0.032611996,8719975.0
Ntsr1_tdTpositive_cell_41,7377,0.041886616,6631858.0
Ntsr1_tdTpositive_cell_42,7580,0.041104525,5983097.0
Ntsr1_tdTpositive_cell_43,8334,0.029083036,4825522.5
Ntsr1_tdTpositive_cell_44,7477,0.037431553,5088522.0
Ntsr1_tdTpositive_cell_45,8097,0.036056697,4537092.0
Ntsr1_tdTpositive_cell_46,8195,0.026837349,4571250.0
Ntsr1_tdTpositive_cell_47,8172,0.023423795,5227857.0
Ntsr1_tdTpositive_cell_48,8517,0.032895066,5369335.0
Ntsr1_tdTpositive_cell_49,7890,0.034206495,5469767.0
Ntsr1_tdTpositive_cell_50,7890,0.030805811,4310139.5
Ntsr1_tdTpositive_cell_51,8904,0.03605947,3648314.0
Ntsr1_tdTpositive_cell_52,8092,0.027250385,4770386.0
Ntsr1_tdTpositive_cell_53,7785,0.023684788,7821057.5
Ntsr1_tdTpositive_cell_54,7491,0.02594555,3971156.0
Ntsr1_tdTpositive_cell_55,8012,0.020956041,4126089.2
Ntsr1_tdTpositive_cell_56,7506,0.020749832,4416053.5
Ntsr1_tdTpositive_cell_57,8101,0.02295375,4337506.0
Ntsr1_tdTpositive_cell_58,8588,0.022152064,3704171.5
Ntsr1_tdTpositive_cell_59,7581,0.030482592,4741666.5
Ntsr1_tdTpositive_cell_60,6721,0.03239486,7129141.0
Ntsr1_tdTpositive_cell_61,8378,0.027376732,4324503.0
Ntsr1_tdTpositive_cell_62,8390,0.023349302,5049848.0
Ntsr1_tdTpositive_cell_63,8340,0.01989356,4210616.0
Ntsr1_tdTpositive_cell_64,7755,0.025714273,4179565.0
Ntsr1_tdTpositive_cell_65,7563,0.02458906,4528323.0
Ntsr1_tdTpositive_cell_66,8191,0.031068513,4149250.5
Ntsr1_tdTpositive_cell_67,6311,0.029769104,4788657.0
Ntsr1_tdTpositive_cell_68,8003,0.026907843,3812898.5
Ntsr1_tdTpositive_cell_69,7945,0.030306822,4095907.5
Ntsr1_tdTpositive_cell_70,8707,0.027769394,5538044.0
Ntsr1_tdTpositive_cell_71,9168,0.028626822,4190068.5
Ntsr1_tdTpositive_cell_72,8070,0.025014818,4854255.0
Ntsr1_tdTpositive_cell_73,7628,0.03553795,3408888.8
Ntsr1_tdTpositive_cell_74,7427,0.029312905,2871982.0
Ntsr1_tdTpositive_cell_78,5547,0.011954571,1548114.0
Ntsr1_tdTpositive_cell_79,6265,0.017645994,3160397.5
Ntsr1_tdTnegative_cell_1,7563,0.03358754,3304749.0
Ntsr1_tdTnegative_cell_2,5910,0.019943109,3436603.0
Ntsr1_tdTnegative_cell_3,3820,0.09161931,3469477.5
Ntsr1_tdTnegative_cell_4,7849,0.028039644,4525043.0
Ntsr1_tdTnegative_cell_5,4171,0.065423176,3356411.0
Ntsr1_tdTnegative_cell_6,7243,0.03564262,4156565.0
Ntsr1_tdTnegative_cell_7,7529,0.035874385,3118627.5
Ntsr1_tdTnegative_cell_8,8169,0.030241504,3092373.8
Ntsr1_tdTnegative_cell_9,7432,0.032338537,2863215.5
Ntsr1_tdTnegative_cell_10,5144,0.0338314,2457767.2
Ntsr1_tdTnegative_cell_11,4655,0.04200837,2490451.8
Ntsr1_tdTnegative_cell_12,4926,0.03400241,1885869.5
Ntsr1_tdTnegative_cell_13,3743,0.059384007,3042676.5
Ntsr1_tdTnegative_cell_14,4267,0.0792041,2650628.5
Ntsr1_tdTnegative_cell_15,7185,0.030592706,2233625.0
Ntsr1_tdTnegative_cell_16,4358,0.05999193,3643401.8
Ntsr1_tdTnegative_cell_17,5214,0.064903624,2605931.5
Ntsr1_tdTnegative_cell_18,5110,0.029640792,3016277.2
Ntsr1_tdTnegative_cell_19,4086,0.07678636,3401283.0
Ntsr1_tdTnegative_cell_20,6011,0.085187666,1688451.6
Ntsr1_tdTnegative_cell_21,5184,0.06709636,2171752.8
Ntsr1_tdTnegative_cell_22,4935,0.0774963,3737712.5
Ntsr1_tdTnegative_cell_23,6682,0.048625845,3492897.5
Ntsr1_tdTnegative_cell_24,4503,0.06565309,3155465.0
Ntsr1_tdTnegative_cell_25,4652,0.0697229,4579306.0
Ntsr1_tdTnegative_cell_26,4418,0.047566585,3831980.0
Ntsr1_tdTnegative_cell_27,4739,0.07423831,4585315.5
Ntsr1_tdTnegative_cell_28,4897,0.0660031,2514200.5
Ntsr1_tdTnegative_cell_29,4656,0.062328637,2805793.2
Ntsr1_tdTnegative_cell_30,5645,0.08940964,2282695.0
Ntsr1_tdTnegative_cell_31,8695,0.035410237,3710956.0
Ntsr1_tdTnegative_cell_32,6686,0.046372455,4916125.5
Ntsr1_tdTnegative_cell_33,7111,0.06369073,3303723.0
Ntsr1_tdTnegative_cell_34,8905,0.03201245,4236644.0
Ntsr1_tdTnegative_cell_35,7866,0.03482384,2260128.5
Ntsr1_tdTnegative_cell_36,8530,0.024188425,4227634.0
Ntsr1_tdTnegative_cell_37,7868,0.014009689,4037020.0
Ntsr1_tdTnegative_cell_38,4857,0.028859984,3776356.8
Ntsr1_tdTnegative_cell_39,5961,0.025768116,4580411.0
Ntsr1_tdTnegative_cell_40,9354,0.02799646,10420936.0
Ntsr1_tdTnegative_cell_41,4863,0.049812406,7229314.5
Ntsr1_tdTnegative_cell_42,6113,0.010960006,7282787.5
Ntsr1_tdTnegative_cell_43,9748,0.049223676,12825118.0
Ntsr1_tdTnegative_cell_44,3803,0.05533056,5173821.5
Ntsr1_tdTnegative_cell_45,4366,0.06716172,3737419.2
Ntsr1_tdTnegative_cell_46,5253,0.029121742,3633249.0
Ntsr1_tdTnegative_cell_47,8618,0.027774278,7961209.0
Ntsr1_tdTnegative_cell_48,8560,0.025131935,7036133.0
Ntsr1_tdTnegative_cell_49,8280,0.030656964,2952216.5
Ntsr1_tdTnegative_cell_50,7258,0.019828947,3844840.5
Ntsr1_tdTnegative_cell_51,7748,0.027545251,3316488.0
Ntsr1_tdTnegative_cell_52,9040,0.02466938,6018355.0
Ntsr1_tdTnegative_cell_53,7898,0.03113015,5055781.0
Ntsr1_tdTnegative_cell_54,8557,0.020977808,4613885.0
Ntsr1_tdTnegative_cell_55,6466,0.02402988,5412632.0
Ntsr1_tdTnegative_cell_57,4421,0.0072165974,2071833.5
Pvalb_tdTpositive_cell_1,6949,0.047649626,3143243.5
Pvalb_tdTpositive_cell_2,8967,0.07061563,3056229.8
Pvalb_tdTpositive_cell_3,8475,0.06869314,2644359.8
Pvalb_tdTpositive_cell_4,6582,0.08276479,6355372.5
Pvalb_tdTpositive_cell_5,8012,0.103652045,3403745.5
Pvalb_tdTpositive_cell_6,9536,0.067541994,5191325.0
Pvalb_tdTpositive_cell_7,8428,0.067672126,2422304.5
Pvalb_tdTpositive_cell_8,8202,0.07025138,3312444.2
Pvalb_tdTpositive_cell_9,7966,0.07153838,2998132.0
Pvalb_tdTpositive_cell_10,7104,0.044375837,2527739.0
Pvalb_tdTpositive_cell_11,6809,0.050315667,2305233.5
Pvalb_tdTpositive_cell_12,8794,0.064934276,3408370.0
Pvalb_tdTpositive_cell_13,8170,0.065477595,2264965.2
Pvalb_tdTpositive_cell_14,7176,0.05562275,3059218.5
Pvalb_tdTpositive_cell_15,7225,0.061203238,1994638.0
Pvalb_tdTpositive_cell_16,7665,0.054213837,3363256.0
Pvalb_tdTpositive_cell_17,8504,0.060132634,3036583.5
Pvalb_tdTpositive_cell_18,7743,0.05030434,3237920.5
Pvalb_tdTpositive_cell_19,7970,0.05086113,3243189.0
Pvalb_tdTpositive_cell_20,7313,0.05621657,2621108.2
Pvalb_tdTpositive_cell_21,8514,0.06412281,2440124.8
Pvalb_tdTpositive_cell_22,8887,0.064963214,3514954.8
Pvalb_tdTpositive_cell_23,8300,0.05078706,3925829.8
Pvalb_tdTpositive_cell_24,7916,0.051516004,2186890.5
Pvalb_tdTpositive_cell_25,7124,0.055436008,2632021.2
Pvalb_tdTpositive_cell_26,8657,0.0800441,3575655.2
Pvalb_tdTpositive_cell_27,8336,0.07151989,3157599.0
Pvalb_tdTpositive_cell_28,7188,0.05478194,2471188.0
Pvalb_tdTpositive_cell_29,8726,0.077560894,2709948.0
Pvalb_tdTpositive_cell_30,7606,0.06573911,2913057.0
Pvalb_tdTpositive_cell_31,7826,0.056663986,1558687.4
Pvalb_tdTpositive_cell_32,8807,0.06868746,2321154.2
