0
abca9
acta2
arhgef26
b3gat2
bmpr1b
calb1
cecr2
cldn5
clec5a
creb3l1
dcx
galnt3
gja1
hn1l
itpr2
kif16b
laptm5
lmod1
mertk
mfge8
mrc1
nell1
nfkbiz
npy2r
pax6
pld1
pld5
rhob
sema3e
slc5a7
slco1c1
sumf2
tbr1
tnfrsf1b
